counter;filename;heuristic;rpd
4;mknap1_6.txt;GeneticAlgorithm;0.008852891316632139
5;mknap1_6.txt;GeneticAlgorithm;0.01657562629497078
6;mknap1_6.txt;GeneticAlgorithm;0.01290261819551708
0;mknap1_7.txt;GeneticAlgorithm;0.018564431275322035
1;mknap1_7.txt;GeneticAlgorithm;0.01463385136360884
2;mknap1_7.txt;GeneticAlgorithm;0.01064280099171555
3;mknap1_7.txt;GeneticAlgorithm;0.016085142407933684
4;mknap1_7.txt;GeneticAlgorithm;0.01747596299207832
5;mknap1_7.txt;GeneticAlgorithm;0.0055632823365785455
6;mknap1_7.txt;GeneticAlgorithm;0.0065912801596420545
0;mknap1_1.txt;LargeNeighborhoodSearch;0.0
1;mknap1_1.txt;LargeNeighborhoodSearch;0.0
2;mknap1_1.txt;LargeNeighborhoodSearch;0.0
3;mknap1_1.txt;LargeNeighborhoodSearch;0.368421052631579
4;mknap1_1.txt;LargeNeighborhoodSearch;0.368421052631579
5;mknap1_1.txt;LargeNeighborhoodSearch;0.368421052631579
6;mknap1_1.txt;LargeNeighborhoodSearch;0.368421052631579
0;mknap1_2.txt;LargeNeighborhoodSearch;0.06736655907926625
1;mknap1_2.txt;LargeNeighborhoodSearch;0.04454348100756955
2;mknap1_2.txt;LargeNeighborhoodSearch;0.04240704793190986
3;mknap1_2.txt;LargeNeighborhoodSearch;0.00643227162564175
4;mknap1_2.txt;LargeNeighborhoodSearch;0.04240704793190986
5;mknap1_2.txt;LargeNeighborhoodSearch;0.11133573012026055
6;mknap1_2.txt;LargeNeighborhoodSearch;0.04240704793190986
0;mknap1_3.txt;LargeNeighborhoodSearch;0.00249066002490661
1;mknap1_3.txt;LargeNeighborhoodSearch;0.03237858032378582
2;mknap1_3.txt;LargeNeighborhoodSearch;0.00249066002490661
3;mknap1_3.txt;LargeNeighborhoodSearch;0.01494396014943955
4;mknap1_3.txt;LargeNeighborhoodSearch;0.0
5;mknap1_3.txt;LargeNeighborhoodSearch;0.04109589041095896
6;mknap1_3.txt;LargeNeighborhoodSearch;0.0
0;mknap1_4.txt;LargeNeighborhoodSearch;0.3929738562091504
1;mknap1_4.txt;LargeNeighborhoodSearch;0.008169934640522847
2;mknap1_4.txt;LargeNeighborhoodSearch;0.044117647058823484
3;mknap1_4.txt;LargeNeighborhoodSearch;0.37173202614379086
4;mknap1_4.txt;LargeNeighborhoodSearch;0.09313725490196079
5;mknap1_4.txt;LargeNeighborhoodSearch;0.1143790849673203
6;mknap1_4.txt;LargeNeighborhoodSearch;0.16748366013071891
0;mknap1_5.txt;LargeNeighborhoodSearch;0.009677419354838679
1;mknap1_5.txt;LargeNeighborhoodSearch;0.016129032258064502
2;mknap1_5.txt;LargeNeighborhoodSearch;0.01935483870967747
3;mknap1_5.txt;LargeNeighborhoodSearch;0.04677419354838708
4;mknap1_5.txt;LargeNeighborhoodSearch;0.01935483870967747
5;mknap1_5.txt;LargeNeighborhoodSearch;0.016129032258064502
6;mknap1_5.txt;LargeNeighborhoodSearch;0.0185483870967742
0;mknap1_6.txt;LargeNeighborhoodSearch;0.06385383311358073
1;mknap1_6.txt;LargeNeighborhoodSearch;0.23055189301186663
2;mknap1_6.txt;LargeNeighborhoodSearch;0.0888114522508947
3;mknap1_6.txt;LargeNeighborhoodSearch;0.03776605763797325
4;mknap1_6.txt;LargeNeighborhoodSearch;0.06573742701073648
5;mknap1_6.txt;LargeNeighborhoodSearch;0.03230363533622149
6;mknap1_6.txt;LargeNeighborhoodSearch;0.021567150122433598
0;mknap1_7.txt;LargeNeighborhoodSearch;0.020922779222349863
1;mknap1_7.txt;LargeNeighborhoodSearch;0.060772812481103
2;mknap1_7.txt;LargeNeighborhoodSearch;0.035556630585958704
3;mknap1_7.txt;LargeNeighborhoodSearch;0.06518715607425773
4;mknap1_7.txt;LargeNeighborhoodSearch;0.09838543871318861
5;mknap1_7.txt;LargeNeighborhoodSearch;0.020378545080728117
6;mknap1_7.txt;LargeNeighborhoodSearch;0.033561105400012115counter;filename;heuristic;rpd
